Gene_id,Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides 1,Peptides 2,Razor + unique peptides 1,Razor + unique peptides 2,Unique peptides 1,Unique peptides 2,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Fraction average,Fraction 1,Fraction 2,Fraction 11,Fraction 12,Q-value,Score,Identification type 1,Identification type 2,Sequence coverage 1 [%],Sequence coverage 2 [%],Intensity,Intensity 1,Intensity 2,iBAQ,iBAQ 1,iBAQ 2,LFQ intensity 1,LFQ intensity 2,MS/MS count 1,MS/MS count 2,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,DSSTP_K site IDs,Oxidation (M) site IDs,DSSTP_K site positions,Oxidation (M) site positions,Gene_desc,fc1,fc2,fc3,log10_score,log10_intensity,log10_iBAQ,pvalues,mean,log_mean,log_pvalues
Tb927.3.4120,Tb927.3.4120:mRNA-p1,Tb927.3.4120:mRNA-p1,7,7,7,"Tb927.3.4120:mRNA-p1 | transcript=Tb927.3.4120:mRNA | gene=Tb927.3.4120 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_03_v5.1:1160791-116282",1,7,7,7,2,6,2,6,2,6,11.2,11.2,11.2,73.301,677,677,8.9,1.0,2.0,,7.0,0.0,6.5392,By MS/MS,By MS/MS,2.8,9.6,11053000,2373220,9048060,381130.0,77987.1,306667.6,201910,3176066,3,6,9,,,,457,343;652;2063;2170;4078;4159;4260,True;True;True;True;True;True;True,362;681;2152;2259;4270;4353;4459,696;1264;3949;3950;4136;7828;7829;7966;8173;8174,742;1299;3961;3962;4153;8177;8178;8319;8533;8534,742;1299;3961;4153;8178;8319;8533,,,,,"hypothetical protein, conserved",0.4661630178065596,0.5073828208138474,0.032722894507505096,0.8155246203675183,7.043480170022551,5.5810731348694445,3.2369307599015795e-06,0.4936428864780848,-1.0184603571635484,3.986164915537047
Tb927.3.4230,Tb927.3.4230:mRNA-p1,Tb927.3.4230:mRNA-p1,3,3,3,"Tb927.3.4230:mRNA-p1 | transcript=Tb927.3.4230:mRNA | gene=Tb927.3.4230 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=serine peptidase, clan SB, family S8-like protein | transcript_product=serine peptidase, clan SB, family S8-like protein | l",1,3,3,3,0,3,0,3,0,3,2.6,2.6,2.6,151.32,1388,1388,11.0,,,3.0,,0.0,4.2031,,By MS/MS,0.0,2.6,1348400,177320,1539560,20431.0,2266.1,21688.6,201910,312216,0,3,3,,,,458,601;1291;4095,True;True;True,629;1349;4287,1199;2448;7852,1242;2482;8199,1242;2482;8199,,,,,"serine peptidase, clan SB, family S8-like protein",0.17735162638762114,0.23749172130278837,0.3376533609689174,0.6235697228466339,6.129818743848935,4.310289623796099,2.5725607682342886e-06,0.21744502299773263,-2.2012774069116046,3.9889688019992824
Tb927.3.4270,Tb927.3.4270:mRNA-p1,Tb927.3.4270:mRNA-p1,3,3,3,"Tb927.3.4270:mRNA-p1 | transcript=Tb927.3.4270:mRNA | gene=Tb927.3.4270 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_03_v5.1:1202789-120553",1,3,3,3,0,3,0,3,0,3,3.9,3.9,3.9,99.49600000000001,916,916,11.6,,,2.0,3.0,0.0,3.8339,,By MS/MS,0.0,3.9,4008100,177320,4199260,70317.0,2266.1,71574.6,201910,1269066,0,2,2,,,,459,1334;2425;2609,True;True;True,1393;2520;2732,2520;2521;4613;4614;4941,2549;4683;4994,2549;4683;4994,,,,,"hypothetical protein, conserved",0.06590846060214199,0.0708608108830982,0.0823097511609653,0.5836407809430421,6.602938548414682,4.847060333748901,5.936025531916035e-11,0.06921002745611281,-3.85287511270512,3.999999742201763
Tb927.3.4380,Tb927.3.4380:mRNA-p1,Tb927.3.4380:mRNA-p1,1,1,1,"Tb927.3.4380:mRNA-p1 | transcript=Tb927.3.4380:mRNA | gene=Tb927.3.4380 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=sorting assembly machinery 50 kDa subunit, putative | transcript_product=sorting assembly machinery 50 kDa subunit, putative",1,1,1,1,1,0,1,0,1,0,2.5,2.5,2.5,53.558,479,479,2.0,,1.0,,,0.0,1.6068,By MS/MS,,2.5,0.0,0,177320,191160,0.0,2266.1,1257.6,201910,38766,1,0,1,,,,460,3492,True,3653,6722,6924,6924,,,,,"sorting assembly machinery 50 kDa subunit, putative",1.4926911453925609,2.6459847613799767,2.458327712103935,0.20596182305963381,-inf,-inf,0.030454586032925317,2.261553556050838,1.1773141609633926,1.5149235959184342
Tb927.3.4570,Tb927.3.4570:mRNA-p1,Tb927.3.4570:mRNA-p1,1,1,1,"Tb927.3.4570:mRNA-p1 | transcript=Tb927.3.4570:mRNA | gene=Tb927.3.4570 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=N-acetylglucosamyl transferase component GPI1, putative | transcript_product=N-acetylglucosamyl transferase component GPI1, ",1,1,1,1,1,0,1,0,1,0,1.4,1.4,1.4,81.461,729,729,1.5,1.0,1.0,,,0.0,2.6263,By MS/MS,,1.4,0.0,3657300,3834620,191160,117980.0,120246.1,1257.6,3726210,38766,2,0,2,,,,461,3929,True,4115,7553;7554,7895;7896,7895,,,,,"N-acetylglucosamyl transferase component GPI1, putative",127.38252412968318,71.50213486690645,64.16959950593665,0.4193443336738431,6.563160585987702,5.0718083918331285,0.008743575614756907,90.12893128783202,6.493918378791595,2.0533721065039403
Tb927.3.4720,Tb927.3.4720:mRNA-p1;Tb927.3.4760:mRNA-p1,Tb927.3.4720:mRNA-p1;Tb927.3.4760:mRNA-p1,9;7,9;7,9;7,Tb927.3.4720:mRNA-p1 | transcript=Tb927.3.4720:mRNA | gene=Tb927.3.4720 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=dynamin-1-like protein | transcript_product=dynamin-1-like protein | location=Tb927_03_v5.1:1334486-1336468(-) | protein_len,2,9,9,9,1,9,1,9,1,9,12.9,12.9,12.9,73.321,660,660;660,11.0,,1.0,1.0,9.0,0.0,6.1771,By MS/MS,By MS/MS,1.4,12.9,19957000,553690,19772160,464130.0,11018.9,456627.6,201910,6861766,0,10,10,,,,462,306;780;2632;2847;2902;3107;3433;3485;3641,True;True;True;True;True;True;True;True;True,321;819;2755;2984;3042;3254;3593;3646;3808,606;1514;4983;4984;4985;5405;5528;5927;6611;6712;7002,642;1550;5037;5038;5039;5449;5616;6015;6804;6914;7207,642;1550;5039;5449;5616;6015;6804;6914;7207,,288;289,,640;641,dynamin-1-like protein,0.041791057983532325,0.056256478860096715,0.015874949428395804,0.7907846321126093,7.300095257323717,5.666639640846039,4.005407745379511e-09,0.05143467190124192,-4.281114987617795,3.9999826050835505
Tb927.3.4800,Tb927.3.4800:mRNA-p1,Tb927.3.4800:mRNA-p1,3,3,3,"Tb927.3.4800:mRNA-p1 | transcript=Tb927.3.4800:mRNA | gene=Tb927.3.4800 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_03_v5.1:1352639-135449",1,3,3,3,3,1,3,1,3,1,5.7,5.7,5.7,69.268,619,619,4.5,,3.0,,1.0,0.004886,0.88997,By MS/MS,By MS/MS,5.7,2.3,2620400,2283320,705570,72789.0,60766.1,15546.6,2307910,38766,3,1,4,,,,463,1917;2086;2991,True;True;True,2003;2175;3136,3633;3981;3982;5726,3656;3997;3998;5834,3656;3997;5834,,,,,"hypothetical protein, conserved",19.128495318594005,11.878299916740653,39.68243325905849,-0.05062463274165925,6.418367590759902,4.862065752935907,0.0053237811106297515,14.295031717358436,3.837441915865465,2.265697845756748
Tb927.3.4980,Tb927.3.4980:pseudogenic_transcript-p1,Tb927.3.4980:pseudogenic_transcript-p1,5,5,5,"Tb927.3.4980:pseudogenic_transcript-p1 | transcript=Tb927.3.4980:pseudogenic_transcript | gene=Tb927.3.4980 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved, frameshift | transcript_product=hypothetical protein, c",1,5,5,5,0,5,0,5,0,5,10.5,10.5,10.5,61.742,551,551,12.0,,,,6.0,0.0,7.0775,,By MS/MS,0.0,10.5,9123600,177320,9314760,314610.0,2266.1,315867.6,201910,3270466,0,6,6,,,,464,670;1567;1641;2095;2443,True;True;True;True;True,702;1632;1707;2184;2539,1298;2948;3078;3995;3996;4643,1330;2954;3074;4008;4009;4711,1330;2954;3074;4009;4711,,,,,"hypothetical protein, conserved, frameshift",0.02764136229156931,0.01613277260958129,0.03192310377956784,0.8498798780371406,6.960166236534378,5.497772522724004,1.4084809833360687e-09,0.01996896917024396,-5.646096329269328,3.9999938830878885
Tb927.3.5020,Tb927.3.5020:mRNA-p1,Tb927.3.5020:mRNA-p1,6,6,6,Tb927.3.5020:mRNA-p1 | transcript=Tb927.3.5020:mRNA | gene=Tb927.3.5020 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Flagellar Member 6 | transcript_product=Flagellar Member 6 | location=Tb927_03_v5.1:1408124-1412365(+) | protein_length=1413,1,6,6,6,0,6,0,6,0,6,4.9,4.9,4.9,155.86,1413,1413,11.0,,,6.0,,0.0,5.1417,,By MS/MS,0.0,4.9,5173100,177320,5364260,70864.0,2266.1,72121.6,201910,1087766,0,6,6,,,,465,258;264;2197;2445;3495;3715,True;True;True;True;True;True,269;275;2287;2541;3657;3887,524;530;4180;4647;6726;7167,563;569;4204;4714;6928;7444,563;569;4204;4714;6928;7444,,,,,Flagellar Member 6,0.049699204300706755,0.07024053675790244,0.09454860947019506,0.7111067334998739,6.713750873736441,4.850425662940683,1.7131569401778368e-08,0.06339342593883722,-3.9795229528358713,3.9999256049117657
Tb927.3.5040,Tb927.3.5040:mRNA-p1,Tb927.3.5040:mRNA-p1,5,5,5,"Tb927.3.5040:mRNA-p1 | transcript=Tb927.3.5040:mRNA | gene=Tb927.3.5040 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_03_v5.1:1415779-141747",1,5,5,5,0,5,0,5,0,5,10.5,10.5,10.5,61.875,564,564,11.6,,,4.0,6.0,0.0,12.027999999999999,,By MS/MS,0.0,10.5,12172000,177320,12363160,392650.0,2266.1,393907.6,201910,3976266,0,7,7,,,,466,945;1727;2405;3359;3504,True;True;True;True;True,991;1802;2500;3516;3667,1805;1806;1807;3240;3241;4559;4560;6442;6746;6747,1842;1843;3227;4605;4606;6585;6951,1842;3227;4606;6585;6951,,,,,"hypothetical protein, conserved",0.022283344520983583,0.013482252463289003,0.026738705962593413,1.08019341942848,7.08536194368613,5.594005601788341,4.748329178417647e-10,0.016415949815853863,-5.928757964080755,3.9999979378317354
Tb927.3.5050,Tb927.3.5050:mRNA-p1,Tb927.3.5050:mRNA-p1,7,7,7,Tb927.3.5050:mRNA-p1 | transcript=Tb927.3.5050:mRNA | gene=Tb927.3.5050 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=60S ribosomal protein L4 | transcript_product=60S ribosomal protein L4 | location=Tb927_03_v5.1:1417717-1418841(+) | protein,1,7,7,7,2,7,2,7,2,7,19.8,19.8,19.8,41.856,374,374,9.86,1.0,1.0,9.0,3.0,0.0,12.298,By MS/MS,By MS/MS,5.1,19.8,31232000,1301420,30299160,1952000.0,72524.1,1882957.6,1840010,6272066,2,10,12,,,,467,1642;1735;1747;1831;2830;3801;3802,True;True;True;True;True;True;True,1708;1810;1822;1910;2965;3978;3979,3079;3080;3081;3259;3260;3279;3450;3451;5372;5373;7311;7312;7313;7314,3075;3076;3262;3263;3278;3471;3472;5420;7590;7591;7592;7593,3075;3262;3278;3472;5420;7590;7593,,,,,60S ribosomal protein L4,0.06840649381973232,0.08398765147285935,0.1515597346604269,1.0898344887086295,7.4945997959865975,6.290479813330673,6.06102302095977e-09,0.07879393225515034,-3.6657716545404675,3.999973678109153
Tb927.3.5310,Tb927.3.5310:mRNA-p1,Tb927.3.5310:mRNA-p1,4,4,4,Tb927.3.5310:mRNA-p1 | transcript=Tb927.3.5310:mRNA | gene=Tb927.3.5310 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=paraflagellar rod protein | transcript_product=paraflagellar rod protein | location=Tb927_03_v5.1:1488667-1495053(+) | prote,1,4,4,4,0,4,0,4,0,4,18.0,18.0,18.0,242.78,2128,2128,11.0,,,4.0,,0.0,17.980999999999998,,By MS/MS,0.0,18.0,13691000,177320,13882160,109530.0,2266.1,110787.6,201910,2815166,0,4,4,,,,468,90;91;896;3654,True;True;True;True,95;96;938;3821,217;218;1708;7024,226;227;1727;7226,226;227;1727;7226,,,,,paraflagellar rod protein,0.019545053626720554,0.04913999925386018,0.03736625373395108,1.2548138410348737,7.136435170458382,5.03953308766939,6.665532796391457e-08,0.039275017378146974,-4.6702442759010605,3.9997106160229667
Tb927.3.5380,Tb927.3.5380:mRNA-p1,Tb927.3.5380:mRNA-p1,1,1,1,"Tb927.3.5380:mRNA-p1 | transcript=Tb927.3.5380:mRNA | gene=Tb927.3.5380 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Tubulin-tyrosine ligase family, putative | transcript_product=Tubulin-tyrosine ligase family, putative | location=Tb927_03_v",1,1,1,1,0,1,0,1,0,1,1.7,1.7,1.7,58.003,517,517,11.0,,,1.0,,0.004902,0.8991100000000001,,By MS/MS,0.0,1.7,4348500,177320,4539660,167250.0,2266.1,168507.6,201910,920596,0,1,1,,,,469,1899,True,1984,3596,3620,3620,12,,9,,"Tubulin-tyrosine ligase family, putative",0.05957301009074803,0.03470936602280445,0.11341517876804712,-0.04618717203698664,6.638339474410679,5.223366126439861,3.3733040547922057e-08,0.04299724737878564,-4.539611886241098,3.9998535239703426
Tb927.3.5440,Tb927.3.5440:mRNA-p1,Tb927.3.5440:mRNA-p1,1,1,1,"Tb927.3.5440:mRNA-p1 | transcript=Tb927.3.5440:mRNA | gene=Tb927.3.5440 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=SNF2 DNA repair protein, putative | transcript_product=SNF2 DNA repair protein, putative | location=Tb927_03_v5.1:1521398-15",1,1,1,1,1,0,1,0,1,0,0.7,0.7,0.7,167.03,1497,1497,1.0,1.0,,,,0.0097629,0.5234800000000001,By MS/MS,,0.7,0.0,0,177320,191160,0.0,2266.1,1257.6,201910,38766,1,0,1,,,,470,1065,True,1114,2008,2027,2027,,,,,"SNF2 DNA repair protein, putative",1.4926911453925609,2.6459847613799767,2.458327712103935,-0.28109990625937353,-inf,-inf,0.030454586032925317,2.261553556050838,1.1773141609633926,1.5149235959184342
Tb927.3.5520,Tb927.3.5520:mRNA-p1,Tb927.3.5520:mRNA-p1,5,5,5,Tb927.3.5520:mRNA-p1 | transcript=Tb927.3.5520:mRNA | gene=Tb927.3.5520 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=26S proteasome regulatory non-ATPase subunit | transcript_product=26S proteasome regulatory non-ATPase subunit | location=Tb,1,5,5,5,3,4,3,4,3,4,6.7,6.7,6.7,99.897,911,911,7.71,,3.0,,4.0,0.0,2.7339,By MS/MS,By MS/MS,4.1,5.0,3319400,1867220,1820660,72161.0,39004.1,36680.6,1905710,602106,2,4,6,,,,471,410;1699;2945;3987;4309,True;True;True;True;True,430;1770;3086;4175;4509,839;840;3188;3189;5604;7664;8289,869;870;3178;3179;5685;8009;8663,869;3178;5685;8009;8663,,,,,26S proteasome regulatory non-ATPase subunit,2.678642503881481,1.8093489471528443,1.7096484498017175,0.4367826249931579,6.521059589656426,4.858302542985558,0.01921704025351117,2.09911346606239,1.069780152576318,1.71405941518953
Tb927.3.5530,Tb927.3.5530:mRNA-p1,Tb927.3.5530:mRNA-p1,1,1,1,Tb927.3.5530:mRNA-p1 | transcript=Tb927.3.5530:mRNA | gene=Tb927.3.5530 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Tb-292 membrane associated protein | transcript_product=Tb-292 membrane associated protein | location=Tb927_03_v5.1:1547572-,1,1,1,1,0,1,0,1,0,1,0.4,0.4,0.4,279.19,2463,2463,11.0,,,1.0,,0.009695299999999999,0.5123800000000001,,By MS/MS,0.0,0.4,0,177320,191160,0.0,2266.1,1257.6,201910,38766,0,1,1,,,,472,3513,True,3676,6764,6972,6972,,,,,Tb-292 membrane associated protein,1.4926911453925609,2.6459847613799767,2.458327712103935,-0.29040783064311304,-inf,-inf,0.030454586032925317,2.261553556050838,1.1773141609633926,1.5149235959184342
Tb927.3.5620,Tb927.3.5620:mRNA-p1,Tb927.3.5620:mRNA-p1,10,10,10,Tb927.3.5620:mRNA-p1 | transcript=Tb927.3.5620:mRNA | gene=Tb927.3.5620 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=Facilitates chromatin transcription complex subunit spt16 | transcript_product=Facilitates chromatin transcription complex s,1,10,10,10,1,10,1,10,1,10,8.9,8.9,8.9,113.69,1022,1022,11.1,,1.0,4.0,10.0,0.0,6.0061,By MS/MS,By MS/MS,1.1,8.9,22548000,574280,22342160,417550.0,9617.2,411457.6,201910,7093766,1,10,11,,,,473,22;1137;1270;1358;1572;1689;2884;3566;3919;4172,True;True;True;True;True;True;True;True;True;True,22;1189;1328;1419;1637;1759;3023;3729;4105;4367,42;43;2140;2141;2408;2575;2954;3174;5473;6848;7524;7525;7526;7987;7988,46;2152;2448;2602;2959;3163;5525;7060;7870;7871;7872;8338,46;2152;2448;2602;2959;3163;5525;7060;7871;8338,,,,,Facilitates chromatin transcription complex subunit spt16,0.03822724401358329,0.053526464944045636,0.015250698022870319,0.7785925588131194,7.35310802614815,5.620708488020617,4.948703073581954e-09,0.04842672463389152,-4.368052760947083,3.9999785085873945
Tb927.3.930,Tb927.3.930:mRNA-p1,Tb927.3.930:mRNA-p1,62,62,61,"Tb927.3.930:mRNA-p1 | transcript=Tb927.3.930:mRNA | gene=Tb927.3.930 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Tb927_03_v5.1:217342-231261(+) | prot",1,62,62,61,3,61,3,61,3,60,14.1,14.1,13.9,531.41,4639,4639,10.6,3.0,,67.0,3.0,0.0,71.23100000000001,By MS/MS,By MS/MS,0.6,13.9,114290000,2415620,112241160,472270.0,11515.4,464277.6,2408010,22368766,3,64,67,,,,474,168;178;181;190;449;501;502;533;640;661;690;921;1005;1144;1159;1161;1174;1436;1445;1562;1686;1871;1929;1933;1962;2036;2043;2057;2177;2262;2263;2276;2355;2387;2388;2406;2432;2457;2463;2464;2518;2557;2593;2640;2664;2840;2842;2865;2901;3085;3129;3642;3995;4024;4042;4051;4054;4077;4164;4174;4190;4276,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,176;187;190;199;200;473;528;529;560;669;692;723;965;1054;1196;1212;1214;1228;1498;1507;1627;1756;1953;2016;2020;2021;2051;2125;2132;2146;2267;2353;2354;2368;2449;2482;2483;2501;2528;2553;2559;2560;2617;2618;2668;2714;2763;2787;2976;2978;3002;3041;3232;3276;3809;4183;4212;4231;4241;4244;4269;4359;4370;4386;4475,377;393;396;407;408;922;1013;1014;1087;1088;1250;1282;1283;1331;1770;1771;1920;2157;2184;2186;2212;2715;2726;2939;3171;3543;3653;3659;3660;3661;3742;3892;3908;3940;4151;4314;4315;4338;4467;4530;4531;4532;4561;4627;4665;4666;4673;4674;4769;4770;4855;4919;4995;5029;5395;5397;5436;5527;5887;5959;7003;7676;7722;7770;7786;7787;7791;7827;7973;8004;8028;8029;8229,410;426;429;438;439;955;1045;1046;1136;1137;1286;1316;1361;1810;1811;1951;2169;2191;2193;2224;2737;2746;2946;3160;3564;3676;3685;3686;3687;3761;3906;3919;3955;4167;4355;4356;4381;4519;4577;4578;4579;4607;4695;4734;4740;4741;4823;4824;4907;4971;5048;5077;5439;5441;5476;5615;5981;6044;7208;8019;8059;8118;8134;8138;8176;8326;8356;8376;8377;8603,410;426;429;438;955;1045;1046;1136;1286;1316;1361;1810;1951;2169;2191;2193;2224;2737;2746;2946;3160;3564;3676;3685;3761;3906;3919;3955;4167;4355;4356;4381;4519;4577;4579;4607;4695;4734;4740;4741;4823;4907;4971;5048;5077;5439;5441;5476;5615;5981;6044;7208;8019;8059;8118;8134;8138;8176;8326;8356;8376;8603,,290;291;292;293;294;295;296;297;298,,716;719;2011;2012;2206;2691;2695;2845;3434,"dynein heavy chain, putative",0.0321574644035048,0.058176858865634916,0.056256478860096715,1.8526690413743796,8.058008232715402,5.674190358771145,4.1573086392994176e-08,0.04950372737825821,-4.336319032912265,3.999819487899465
Tb927.3.980,Tb927.3.980:mRNA-p1,Tb927.3.980:mRNA-p1,1,1,1,"Tb927.3.980:mRNA-p1 | transcript=Tb927.3.980:mRNA | gene=Tb927.3.980 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_03_v5.1:240544-242646(+) ",1,1,1,1,0,1,0,1,0,1,2.4,2.4,2.4,78.46300000000001,700,700,11.3,,,2.0,1.0,0.0,3.0533,,By MS/MS,0.0,2.4,1494500000,177320,1494691160,53376000.0,2266.1,53377257.6,201910,300868766,0,3,3,,,,475,107,True,113,250;251;252,259;260;261,259,,,,,"hypothetical protein, conserved",0.0002773925154901573,0.0002773925154901573,0.0002773925154901573,0.4847694777161735,9.1744959193753,7.7273460246216255,0.0,0.0002773925154901573,-11.815783517666247,4.0
Tb927.4.1250,Tb927.4.1250:mRNA-p1,Tb927.4.1250:mRNA-p1,3,3,3,"Tb927.4.1250:mRNA-p1 | transcript=Tb927.4.1250:mRNA | gene=Tb927.4.1250 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=peroxisome biogenesis factor 1, putative | transcript_product=peroxisome biogenesis factor 1, putative | location=Tb927_04_v",1,3,3,3,3,0,3,0,3,0,3.0,3.0,3.0,99.586,911,911,1.6,2.0,3.0,,,0.0,2.3234,By MS/MS,,3.0,0.0,2850100,3027420,191160,57002.0,59268.1,1257.6,2994510,38766,5,0,5,,,,476,830;1544;4300,True;True;True,870;1608;4500,1595;1596;2906;2907;8278,1621;1622;2919;2920;8651,1621;2920;8651,,,,,"peroxisome biogenesis factor 1, putative",64.16959950593665,38.248464365215746,47.39154175557917,0.3661239850211335,6.45486009814405,4.755890093808031,0.006042219663115167,46.88884274545604,5.551172767505606,2.211674656018493
Tb927.4.1300,Tb927.4.1300:mRNA-p1,Tb927.4.1300:mRNA-p1,1,1,1,"Tb927.4.1300:mRNA-p1 | transcript=Tb927.4.1300:mRNA | gene=Tb927.4.1300 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=amidinotransferase, putative | transcript_product=amidinotransferase, putative | location=Tb927_04_v5.1:341652-342776(-) | p",1,1,1,1,0,1,0,1,0,1,2.9,2.9,2.9,42.015,374,374,11.0,,,1.0,,0.0033726999999999997,1.0117,,By MS/MS,0.0,2.9,576980,177320,768140,30367.0,2266.1,31624.6,201910,155766,0,1,1,,,,477,3690,True,3858,7095,7327,7327,,,,,"amidinotransferase, putative",0.40445743598345496,0.17317366952017857,0.6866701753589602,0.005051749993995889,5.761160759359931,4.482401889455293,0.0006260549074589057,0.2502682583412707,-1.9984527700517885,3.139030534803039
Tb927.4.1500,Tb927.4.1500:mRNA-p1,Tb927.4.1500:mRNA-p1,6,6,6,Tb927.4.1500:mRNA-p1 | transcript=Tb927.4.1500:mRNA | gene=Tb927.4.1500 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=RNA editing associated helicase 2 | transcript_product=RNA editing associated helicase 2 | location=Tb927_04_v5.1:381487-387,1,6,6,6,0,6,0,6,0,6,4.0,4.0,4.0,241.82,2167,2167,11.0,,,6.0,,0.0,4.4091,,By MS/MS,0.0,4.0,2285700,177320,2476860,19536.0,2266.1,20793.6,201910,502276,0,6,6,,,,478,314;1690;1715;3299;3843;3875,True;True;True;True;True;True,329;1760;1790;3451;4025;4058,617;3175;3213;6316;7389;7441,652;3164;3201;6422;7677;7727,652;3164;3201;6422;7677;7727,,,,,RNA editing associated helicase 2,0.11217508074163503,0.24559222659801594,0.20744772665134673,0.6443499488956554,6.359019228292674,4.290835646600807,5.645035884036282e-05,0.20111984464588897,-2.313872654419109,3.8056234364026666
Tb927.4.1510,Tb927.4.1510:mRNA-p1,Tb927.4.1510:mRNA-p1,9,9,9,"Tb927.4.1510:mRNA-p1 | transcript=Tb927.4.1510:mRNA | gene=Tb927.4.1510 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=phospholipid-translocating ATPase, putative | transcript_product=phospholipid-translocating ATPase, putative | location=Tb92",1,9,9,9,3,9,3,9,3,9,8.9,8.9,8.9,121.53,1080,1080,10.1,,3.0,5.0,10.0,0.0,9.0176,By MS/MS,By MS/MS,3.0,8.9,20193000,2657320,17904160,403870.0,51866.1,355527.6,3807110,4468566,3,11,14,,,,479,542;735;1533;2369;2775;3644;3744;3934;4264,True;True;True;True;True;True;True;True;True,569;771;772;1597;2463;2908;3811;3917;4120;4463,1101;1439;1440;1441;2883;2884;4489;4490;5274;5275;7006;7007;7215;7216;7563;8179;8180;8181,1151;1474;1475;2901;4543;5322;5323;7210;7211;7491;7492;7903;8538;8539;8540,1151;1474;2901;4543;5322;7211;7491;7903;8540,,299,,526,"phospholipid-translocating ATPase, putative",0.24013850902426817,0.3106978007532512,0.4382537540172331,0.9550909670932436,7.305200845276408,5.6062415943971615,7.060139362975663e-06,0.28717803684359017,-1.7999826777196766,3.970372195619765
Tb927.4.1540,Tb927.4.1540:mRNA-p1,Tb927.4.1540:mRNA-p1,2,2,2,"Tb927.4.1540:mRNA-p1 | transcript=Tb927.4.1540:mRNA | gene=Tb927.4.1540 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=NAD dependent epimerase/dehydratase family, putative | transcript_product=NAD dependent epimerase/dehydratase family, putati",1,2,2,2,2,0,2,0,2,0,3.3,3.3,3.3,55.24,508,508,2.0,,2.0,,,0.0019268,1.375,By MS/MS,,3.3,0.0,1940600,2117920,191160,80859.0,83125.1,1257.6,2142510,38766,2,0,2,,,,480,213;702,True;True,223;735,439;1346,468;1374,468;1374,,,,,"NAD dependent epimerase/dehydratase family, putative",44.457467067691994,54.574470154190806,31.021935539282627,0.13830269816628146,6.287936027044703,4.907728366021061,0.0001185855171920332,51.202135792024535,5.678132085430924,3.660378616457448
